sample	class
HG00097	GBR
HG00115	GBR
HG00116	GBR
HG00122	GBR
HG00174	FIN
HG00235	GBR
HG00240	GBR
HG00265	GBR
HG00271	FIN
HG00353	FIN
HG00372	FIN
HG00375	FIN
HG00410	CHS
HG00411	CHS
HG00451	CHS
HG00452	CHS
HG00472	CHS
HG00622	CHS
HG00631	CHS
HG00636	CHS
HG00656	CHS
HG00657	CHS
HG00692	CHS
HG00740	PUR
HG01048	PUR
HG01050	PUR
HG01051	PUR
HG01080	PUR
HG01081	PUR
HG01101	PUR
HG01114	CLM
HG01121	CLM
HG01126	CLM
HG01130	CLM
HG01133	CLM
HG01139	CLM
HG01242	PUR
HG01342	CLM
HG01353	CLM
HG01364	CLM
HG01372	CLM
HG01405	PUR
HG01437	CLM
HG01442	CLM
HG01459	CLM
HG01464	CLM
HG01471	CLM
HG01519	IBS
HG01536	IBS
HG01537	IBS
HG01619	IBS
HG01672	IBS
HG01686	IBS
HG01704	IBS
HG01762	IBS
HG01782	IBS
HG01785	IBS
HG01802	CDX
HG01846	KHV
HG01855	KHV
HG01866	KHV
HG01882	ACB
HG01919	PEL
HG01925	PEL
HG01935	PEL
HG01955	PEL
HG01969	PEL
HG01970	PEL
HG01979	PEL
HG01981	PEL
HG01990	ACB
HG01998	PEL
HG02002	PEL
HG02012	ACB
HG02061	KHV
HG02069	KHV
HG02077	KHV
HG02079	KHV
HG02090	PEL
HG02091	PEL
HG02108	ACB
HG02113	KHV
HG02131	KHV
HG02140	KHV
HG02141	KHV
HG02151	CDX
HG02154	CDX
HG02156	CDX
HG02168	CDX
HG02185	CDX
HG02255	ACB
HG02261	PEL
HG02279	PEL
HG02300	PEL
HG02301	PEL
HG02321	ACB
HG02344	PEL
HG02537	ACB
HG02558	ACB
HG02595	GWD
HG02612	GWD
HG02615	GWD
HG02635	GWD
HG02651	PJL
HG02679	GWD
HG02692	PJL
HG02698	PJL
HG02723	GWD
HG02761	GWD
HG02784	PJL
HG02786	PJL
HG02806	GWD
HG02838	GWD
HG02852	GWD
HG02880	GWD
HG02890	GWD
HG02924	ESN
HG02944	ESN
HG02964	ESN
HG03039	GWD
HG03041	GWD
HG03047	GWD
HG03060	MSL
HG03080	MSL
HG03104	ESN
HG03115	ESN
HG03125	ESN
HG03128	ESN
HG03133	ESN
HG03194	ESN
HG03197	ESN
HG03229	PJL
HG03249	GWD
HG03259	GWD
HG03268	ESN
HG03272	ESN
HG03296	ESN
HG03343	ESN
HG03344	ESN
HG03376	MSL
HG03442	MSL
HG03461	MSL
HG03468	MSL
HG03514	ESN
HG03516	ESN
HG03522	ESN
HG03538	GWD
HG03547	MSL
HG03650	PJL
HG03654	PJL
HG03705	PJL
HG03715	ITU
HG03781	ITU
HG03801	BEB
HG03821	BEB
HG03826	BEB
HG03832	BEB
HG03834	BEB
HG03870	ITU
HG03871	ITU
HG03887	STU
HG03985	STU
HG03992	STU
HG04080	ITU
HG04114	STU
HG04141	BEB
HG04186	BEB
HG04191	BEB
HG04210	STU
NA06993	CEU
NA06994	CEU
NA07000	CEU
NA07029	CEU
NA07051	CEU
NA07055	CEU
NA10831	CEU
NA10836	CEU
NA10853	CEU
NA11920	CEU
NA11932	CEU
NA12340	CEU
NA12376	CEU
NA12485	CEU
NA12802	CEU
NA12842	CEU
NA18534	CHB
NA18545	CHB
NA18562	CHB
NA18564	CHB
NA18570	CHB
NA18574	CHB
NA18592	CHB
NA18605	CHB
NA18613	CHB
NA18859	YRI
NA18861	YRI
NA18951	JPT
NA18956	JPT
NA18971	JPT
NA18974	JPT
NA18977	JPT
NA18980	JPT
NA18984	JPT
NA19001	JPT
NA19003	JPT
NA19023	LWK
NA19037	LWK
NA19062	JPT
NA19065	JPT
NA19066	JPT
NA19077	JPT
NA19141	YRI
NA19206	YRI
NA19210	YRI
NA19314	LWK
NA19374	LWK
NA19376	LWK
NA19395	LWK
NA19396	LWK
NA19651	MXL
NA19652	MXL
NA19656	MXL
NA19658	MXL
NA19704	ASW
NA19746	MXL
NA19750	MXL
NA19754	MXL
NA19771	MXL
NA19774	MXL
NA19782	MXL
NA20128	ASW
NA20281	ASW
NA20290	ASW
NA20300	ASW
NA20320	ASW
NA20332	ASW
NA20336	ASW
NA20351	ASW
NA20510	TSI
NA20516	TSI
NA20531	TSI
NA20755	TSI
NA20772	TSI
NA20778	TSI
NA20812	TSI
NA20871	GIH
NA21088	GIH
NA21116	GIH
NA21118	GIH
NA21126	GIH
